bor-meld-label,bor-meld-uri,mapping,imbor-uri,imbor-property,imbor-domeinwaarde,
Klok,https://data.crow.nl/bor-meld/def/a3dfe883-f997-4c6c-a633-ec0c0217ab9a,owl:equivalentClass,https://data.crow.nl/imbor/def/a3a10c80-4b70-42ef-a81f-786c3ac2245f,,,
Kolk,https://data.crow.nl/bor-meld/def/1bb8ca6a-d0ec-42bd-a8c5-461b61af6a18,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Kolk,,,
Kolkaansluitleiding,https://data.crow.nl/bor-meld/def/3af1e1c2-d45d-40a1-bba1-e1213e1a8d66,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Kolkaansluitleiding,,,
Kunstobject,https://data.crow.nl/bor-meld/def/97d2eda7-ffe7-443e-9292-e575ac2f9dc5,owl:equivalentClass,https://data.crow.nl/imbor/def/31eb954f-cefd-4886-8b74-8a46f1eb7e52,,,
Laadpunt,https://data.crow.nl/bor-meld/def/d16bfc72-810d-4668-bcb7-246ae5251d95,owl:equivalentClass,https://data.crow.nl/imbor/def/c4f0175a-3e6e-484f-81db-8c6cb2324f91,,,
Lamp,https://data.crow.nl/bor-meld/def/97c2d77f-6d90-4bbd-b9df-dd042ecae817,owl:equivalentClass,https://data.crow.nl/imbor/def/53929f41-9240-4a61-9abe-5ade04a679b8,,,
Lichtmast,https://data.crow.nl/bor-meld/def/6b1b7a11-8b19-4edc-88f7-5e34382a577a,owl:equivalentClass,https://data.crow.nl/imbor/def/e5d5a58c-bb19-4d49-8bf0-d1ea48a5487e,,,
Lijnafwatering,https://data.crow.nl/bor-meld/def/b159fd1e-0268-4f37-be3d-310fde72efad,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/Goot,,,
Mechanische riolering,https://data.crow.nl/bor-meld/def/3ef5cfe6-0fc3-4f0e-804d-e403125a6150,owl:equivalentClass,http://data.gwsw.nl/1.6/totaal/MechanischeRioolleiding,,,
Melding niet te herleiden tot een openbare ruimte object,https://data.crow.nl/bor-meld/def/582b7478-dbf9-4e00-914a-414f275ce8c7,nvt,,,,
Openbare toiletvoorziening,https://data.crow.nl/bor-meld/def/1e73cffc-1d24-4ee9-898c-23faf0236a45,owl:equivalentClass,https://data.crow.nl/imbor/def/41c7c465-b0ab-4c9d-8e40-3ac09fbede61,,,
